digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;50;50;50;50;500;500;500;500;5000;5000;5000;5000;
53;67;64;75;789;2725;2735;2713;14998;93621;71364;93189;45;37;58;66;1392;2943;2401;2054;20228;92246;89177;74521;44;50;61;55;1005;2634;2499;2815;21410;92646;95598;81760;32;60;73;68;1155;2471;2807;2531;33191;85837;93140;88792;45;64;40;56;1389;2527;2086;2560;13300;96759;92656;90914;26;72;70;69;684;2916;2754;2534;5333;91996;92227;94667;
445;445;445;484;28609;37597;27289;29047;787120;1440747;1440747;1497105;445;445;364;484;22824;28609;28609;34650;1762839;1506484;1492414;1440747;484;322;729;364;32944;42129;26847;38845;1090024;1436044;1398384;1431340;484;445;405;484;29047;35074;27289;26847;1525230;2080170;1464247;1473640;322;364;364;364;31654;29047;25515;24622;1303954;1454850;1445449;1360660;405;522;484;405;16405;27289;27730;25960;204139;1459549;1412514;1407805;
322;405;322;364;11224;16405;17334;18259;680409;816139;830635;830635;279;322;364;364;14535;17797;15939;17797;670684;777439;777439;801634;279;279;364;322;15004;15472;16405;18259;738675;753219;849949;854775;322;364;405;364;14535;18720;19180;19180;694989;864424;811305;878890;322;405;322;364;14535;14535;17797;17797;504747;874069;787120;830635;322;405;445;364;14535;19180;15472;16870;337654;777439;806470;806470;
343;294;343;343;15469;20958;15968;15968;1069786;774845;759848;774845;294;294;539;343;12475;15469;16966;19461;919816;784843;774845;774845;343;343;490;294;17964;23453;14970;21956;559888;749850;769846;1064787;343;343;294;294;15968;19461;22954;23952;794841;1099780;784843;1104779;343;294;294;343;22455;15968;26447;14471;1149770;759848;749850;1304739;245;392;343;294;14970;24451;21457;14471;679864;764847;759848;749850;
408;457;457;457;8871;8871;8871;8871;128385;143382;138383;148381;457;457;457;457;8871;8871;8871;8871;123386;143382;148381;143382;457;457;457;457;8871;8871;8871;8871;123386;138383;138383;148381;457;457;457;457;8871;8871;8871;8871;128385;143382;138383;143382;457;457;457;457;8871;8871;8871;9370;128385;143382;143382;138383;457;457;457;457;8372;8871;9370;8871;128385;143382;143382;138383;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;
100;1970;-;-;1000;2549;-;-;10000;10166;-;-;100;2009;-;-;1000;2557;-;-;10000;10174;-;-;100;2024;-;-;1000;2550;-;-;10000;10158;-;-;101;2028;-;-;1000;2552;-;-;10000;10168;-;-;101;2010;-;-;1000;2564;-;-;10000;10155;-;-;100;1904;-;-;1000;2552;-;-;10000;10175;-;-;
207;216;214;216;3517;3725;3682;3709;55066;57763;56761;57414;204;211;221;213;3527;3690;3716;3651;55090;57609;57686;57145;205;215;214;212;3518;3712;3716;3708;55100;57441;57395;57104;205;213;219;221;3524;3690;3717;3677;55131;57530;57733;57454;209;214;211;215;3537;3730;3639;3689;55062;57565;57402;57678;203;208;207;217;3512;3676;3721;3709;55022;57737;57436;57795;
264;225;215;211;13861;3926;4032;3926;1267716;55392;55019;55260;255;214;212;217;14833;3746;3773;3797;1289622;55926;55911;55218;248;219;215;217;15068;3920;3820;3875;1269172;55588;56001;55605;273;228;217;234;14524;3910;3882;3830;1297445;55232;56050;55116;239;217;213;217;14951;3807;3864;3921;1283042;55699;56660;57174;275;213;213;221;14173;3988;4054;3919;1290898;55773;55380;55146;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;
268;286;291;288;3883;4535;4515;4519;50774;62517;62558;62347;269;290;289;291;3919;4525;4503;4530;51282;62598;62566;62707;267;283;284;288;3971;4516;4535;4527;51986;62606;62388;62622;265;289;290;287;3945;4551;4525;4513;52151;62763;62520;62566;271;285;287;283;3932;4507;4526;4486;50889;62607;62502;62388;279;283;293;288;3884;4510;4512;4550;51536;62684;62531;62505;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;109;436;-;-;1009;4036;-;-;10009;40036;-;-;
94;102;-;-;923;948;-;-;20002;34144;-;-;99;100;-;-;1364;1058;-;-;11314;36068;-;-;80;99;-;-;776;1032;-;-;16487;34805;-;-;82;96;-;-;1099;939;-;-;31500;31205;-;-;77;103;-;-;1893;1023;-;-;18304;36318;-;-;58;100;-;-;1018;1007;-;-;10337;36442;-;-;
317;335;291;288;4382;5034;4515;4519;55773;67516;62558;62347;318;339;289;291;4418;5024;4503;4530;56281;67597;62566;62707;316;332;284;288;4470;5015;4535;4527;56985;67605;62388;62622;314;338;290;287;4444;5050;4525;4513;57150;67762;62520;62566;320;334;287;283;4431;5006;4526;4486;55888;67606;62502;62388;328;332;293;288;4383;5009;4512;4550;56535;67683;62531;62505;
185;198;193;204;4756;5316;5593;5441;82170;89640;87495;89491;177;166;168;198;5002;5636;5279;5266;82657;89571;89774;87557;175;181;177;179;4858;5428;5481;5423;83235;89436;89701;88259;169;186;202;184;4892;5288;5348;5373;83731;87118;89264;88353;176;177;178;188;4939;5444;5095;5533;82096;89511;89293;89090;166;204;195;198;4643;5559;5537;5368;81521;88936;89372;89579;
