digit;double;string;date;digit;double;string;date;digit;double;string;date;digit;double;string;date;
50;50;50;50;500;500;500;500;5000;5000;5000;5000;50000;50000;50000;50000;
567;607;651;623;59273;62563;61647;62783;5626296;6320022;6263382;6224650;561379236;627400170;625514001;625601151;
1170;1215;1222;1089;123210;124120;123889;124254;12366172;12495355;12496939;12490945;1237271680;1249965547;1249943122;1249948665;
949;949;972;1105;98185;94615;94615;100219;9509710;9568090;9482760;9411130;936361510;942764922;938736225;939559014;
1029;1225;1176;1274;113772;120758;120259;117265;11252749;12337532;12417516;12212557;1124327513;1246575068;1248475030;1244275114;
457;457;457;506;8871;9370;9370;9370;128385;148381;143382;153380;1733411;2133403;2233401;2183402;
1225;1225;1225;1225;124750;124750;124750;124750;12497500;12497500;12497500;12497500;1249975000;1249975000;1249975000;1249975000;
100;100;-;-;1000;1000;-;-;10000;10000;-;-;100000;100000;-;-;
232;253;279;240;4026;4951;4903;5092;61858;92170;90679;89524;778912;1549594;1575107;1596530;
301;232;217;345;14086;4611;4830;4392;1276632;76262;72083;69869;125235304;921314;918640;940828;
286;286;286;286;4488;4488;4488;4488;61808;61808;61808;61808;784464;784464;784464;784464;
252;266;266;262;3951;4303;4293;4303;54377;59520;59609;59598;690259;762426;762526;762445;
109;436;-;-;1009;4036;-;-;10009;40036;-;-;100009;400036;-;-;
665;112;-;-;59821;2037;-;-;5631344;153393;-;-;561429284;15076512;-;-;
264;278;272;278;4078;4358;4377;4358;54377;60462;59886;60547;699173;773135;771476;772056;
667;707;751;723;63273;66563;65647;66783;5702648;6396374;6339734;6301002;562472260;628493194;626607025;626694175;

